Name,Notes,slide
Frozen Tissue Section - Human Adult Normal: Heart: Atrium (left),http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-atrium-left/,T1234126-B808150
Frozen Tissue Section - Human Adult Normal: Heart: Atrium (right),http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-atrium-right/,T1234127-A806058
Frozen Tissue Section - Human Adult Normal: Heart: Auricula (left),http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-auricula-left/,T1234128-B705029
Frozen Tissue Section - Human Adult Normal: Heart: Auricula (right),http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-auricula-right/,T1234129-A703228
Frozen Tissue Section - Human Adult Normal: Heart: Interventricular Septum,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-interventricular-septum/,T1234130-A707245
Frozen Tissue Section - Human Adult Normal: Heart: Pericardium,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-pericardium/,T1234133-B908080
Frozen Tissue Section - Human Adult Normal: Heart:  Pulmonary Artery,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-pulmonary-artery/,T1234134-C308090
Frozen Tissue Section - Human Adult Normal: Heart: Ventricle (left),http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-ventricle-left/,T1234138-B409106
Frozen Tissue Section - Human Adult Normal: Heart: Ventricle (right),http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-ventricle-right/,T1234139-B409105
Frozen Tissue Section - Human Adult Normal: Kidney,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-kidney/,T1234142-C304120
Frozen Tissue Section - Human Adult Normal: Liver,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-liver/,T1234149-C405027
Frozen Tissue Section - Human Adult Normal: Lung,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-lung/,T1234152-C405025
Frozen Tissue Section - Human Adult Normal: Trachea,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-trachea/,T1234160-B911022
Frozen Tissue Section - Human Adult Normal: Lymph Node,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-lymph-node/,T1234161-C211002
Frozen Tissue Section - Human Adult Normal: Submaxillary Gland,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-submaxillary-gland/,T1234165-A706153
Frozen Tissue Section - Human Adult Normal: Diaphragm,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-diaphragm/,T1234169-A707116
Frozen Tissue Section - Human Adult Normal: Skeletal Muscle,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-skeletal-muscle/,T1234171-C109096
Frozen Tissue Section - Human Adult Normal: Ovary,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-ovary/,T1234183-B708027
Frozen Tissue Section - Human Adult Normal: Pancreas,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-pancreas/,T1234188-C203034
Frozen Tissue Section - Human Adult Normal: Parathyroid,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-parathyroid/,T1234189
Frozen Tissue Section - Human Adult Normal: Parotid,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-parotid/,T1234190
Frozen Tissue Section - Human Adult Normal: Penis,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-penis/,T1234194-B407052
Frozen Tissue Section - Human Adult Normal: Placenta,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-placenta/,T1234200-A712188
Frozen Tissue Section - Human Adult Normal: Prostate,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-prostate/,T1234201-C507231
Frozen Tissue Section - Human Adult Normal: Rectum,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-rectum/,T1234206-A804301
Frozen Tissue Section - Human Adult Normal: Skin,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-skin/,T1234218-A809076
Frozen Tissue Section - Human Adult Normal: Small Intestine,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-small-intestine/,T1234226-B609092
Frozen Tissue Section - Human Adult Normal: Spinal Cord,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-spinal-cord/,T1234234-B708261
Frozen Tissue Section - Human Adult Normal: Spleen,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-spleen/,T1234246-B509167
Frozen Tissue Section - Human Adult Normal: Stomach,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-stomach/,T1234248-B609164
Frozen Tissue Section - Human Adult Normal: Testis,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-testis/,T1234260-C204075
Frozen Tissue Section - Human Adult Normal: Throat,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-throat/,T1234263
Frozen Tissue Section - Human Adult Normal: Uterus,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-uterus/,T1234274-A807269
Frozen Tissue Section - Human Adult Normal: Vagina,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-vagina/,T1234283-B407051
Frozen Tissue Section - Human Tumor: Adrenal,http://www.biochain.com/product/frozen-tissue-section-human-tumor-adrenal/,T1235004
Frozen Tissue Section - Human Tumor: Bladder,http://www.biochain.com/product/frozen-tissue-section-human-tumor-bladder/,T1235010-B903095
Frozen Tissue Section - Human Tumor: Bone,http://www.biochain.com/product/frozen-tissue-section-human-tumor-bone/,T1235023-B203015
Frozen Tissue Section - Human Tumor: Breast,http://www.biochain.com/product/frozen-tissue-section-human-tumor-breast/,T1235086-A804308
Frozen Tissue Section - Human Tumor: Colon,http://www.biochain.com/product/frozen-tissue-section-human-tumor-colon/,T1235090-B508230
Frozen Tissue Section - Human Tumor: Esophagus,http://www.biochain.com/product/frozen-tissue-section-human-tumor-esophagus/,T1235106-A804300
Frozen Tissue Section - Human Tumor: Kidney,http://www.biochain.com/product/frozen-tissue-section-human-tumor-kidney/,T1235142-B606004
Frozen Tissue Section - Human Tumor: Liver,http://www.biochain.com/product/frozen-tissue-section-human-tumor-liver/,T1235149-B604150
Frozen Tissue Section - Human Tumor: Lung,http://www.biochain.com/product/frozen-tissue-section-human-tumor-lung/,T1235152
Frozen Tissue Section - Human Tumor: Lymphoma,http://www.biochain.com/product/frozen-tissue-section-human-tumor-lymphoma/,T1235161
Frozen Tissue Section - Human Tumor: Ovary,http://www.biochain.com/product/frozen-tissue-section-human-tumor-ovary/,T1235183-B303040
Frozen Tissue Section - Human Tumor: Pancreas,http://www.biochain.com/product/frozen-tissue-section-human-tumor-pancreas/,T1235188-A807028
Frozen Tissue Section - Human Tumor: Parotid,http://www.biochain.com/product/frozen-tissue-section-human-tumor-parotid/,T1235190-B110139
Frozen Tissue Section - Human Tumor: Prostate,http://www.biochain.com/product/frozen-tissue-section-human-tumor-prostate/,T1235201
Frozen Tissue Section - Human Tumor: Rectum,http://www.biochain.com/product/frozen-tissue-section-human-tumor-rectum/,T1235206-B605341
Frozen Tissue Section - Human Tumor: Skin,http://www.biochain.com/product/frozen-tissue-section-human-tumor-skin/,T1235218
Frozen Tissue Section - Human Tumor: Stomach,http://www.biochain.com/product/frozen-tissue-section-human-tumor-stomach/,T1235248-A702058
Frozen Tissue Section - Human Tumor: Testis,http://www.biochain.com/product/frozen-tissue-section-human-tumor-testis/,T1235260
Frozen Tissue Section - Human Tumor: Thymoma,http://www.biochain.com/product/frozen-tissue-section-human-tumor-thymoma/,T1235264-B711352
Frozen Tissue Section - Human Tumor: Thyroid,http://www.biochain.com/product/frozen-tissue-section-human-tumor-thyroid/,T1235265-A709034
Frozen Tissue Section - Human Tumor: Uterus,http://www.biochain.com/product/frozen-tissue-section-human-tumor-uterus/,T1235274-B106082
Frozen Tissue Section - Human Diabetic Diseased Tissue: Subcutaneous Adipose,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-subcutaneous-adipose/,T1236003SubDia-B202144
Frozen Tissue Section - Human Diabetic Diseased Tissue: Visceral Adipose,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-visceral-adipose/,T1236003VisDia-B202145
Frozen Tissue Section - Human Diabetic Diseased Tissue: Adrenal,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-adrenal/,T1236004Dia
Frozen Tissue Section - Lupus: Adrenal,http://www.biochain.com/product/frozen-tissue-section-lupus-adrenal/,T1236004Lup-A804251
Frozen Tissue Section - Arteriosclerosis: Aorta,http://www.biochain.com/product/frozen-tissue-section-arteriosclerosis-aorta/,T1236012Hd-4-B211047
Frozen Tissue Section - Hypertension: Artery,http://www.biochain.com/product/frozen-tissue-section-hypertension-artery/,T1236013Hd-2-B502175
Frozen Tissue Section - Arteriosclerosis: Artery,http://www.biochain.com/product/frozen-tissue-section-arteriosclerosis-artery/,T1236013Hd-4-B502176
Frozen Tissue Section - Lupus: Blood Vessel: Artery,http://www.biochain.com/product/frozen-tissue-section-lupus-blood-vessel-artery/,T1236013Lup-A804253
Frozen Tissue Section - Hypertension: Vein,http://www.biochain.com/product/frozen-tissue-section-hypertension-vein/,T1236020Hd-2-B210038
Frozen Tissue Section - Human Diabetic Diseased Tissue: Bone Marrow,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-bone-marrow/,T1236024Dia-A906095
Frozen Tissue Section - Alzheimer's Disease: Brain,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain/,T1236035Alz-B704244
Frozen Tissue Section - Human Diabetic Diseased Tissue: Brain,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-brain/,T1236035Dia
Frozen Tissue Section - Multiple Sclerosis Disease: Brain,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain/,T1236035Msc-B302135
Frozen Tissue Section - Parkinson's Disease: Brain,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain/,T1236035Par-B110195
Frozen Tissue Section - Alzheimer's Disease: Brain: Amygdala,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-amygdala/,T1236036Alz-B105040
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Amygdala,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-amygdala/,T1236036Msc
Frozen Tissue Section - Parkinson's Disease: Brain: Amygdala,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-amygdala/,T1236036Par-B105039
Frozen Tissue Section - Alzheimer's Disease: Brain: Cerebellum,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-cerebellum/,T1236039Alz-B110190
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Cerebellum,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-cerebellum/,T1236039Msc-B902021
Frozen Tissue Section - Parkinson's Disease: Brain: Cerebellum,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-cerebellum/,T1236039Par-B503047
Frozen Tissue Section - Progressive Supranuclear Palsy: Brain: Cerebellum,http://www.biochain.com/product/frozen-tissue-section-progressive-supranuclear-palsy-brain-cerebellum/,T1236039PSP
Frozen Tissue Section - Alzheimer's Disease: Brain: Corpus Callosum,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-corpus-callosum/,T1236045Alz-B304141
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Corpus Callosum,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-corpus-callosum/,T1236045Msc-B512122
Frozen Tissue Section - Parkinson's Disease: Brain: Corpus Callosum,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-corpus-callosum/,T1236045Par-B802218
Frozen Tissue Section - Alzheimer's Disease: Brain: Frontal Lobe,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-frontal-lobe/,T1236051Alz-B701128
Frozen Tissue Section - Dementia: Brain: Frontal Lobe,http://www.biochain.com/product/frozen-tissue-section-dementia-brain-frontal-lobe/,T1236051Dem
Frozen Tissue Section - Depression: Brain: Frontal Lobe,http://www.biochain.com/product/frozen-tissue-section-depression-brain-frontal-lobe/,T1236051Dep-B103027
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Frontal Lobe,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-frontal-lobe/,T1236051Msc-B605025
Frozen Tissue Section - Parkinson's Disease: Brain: Frontal Lobe,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-frontal-lobe/,T1236051Par
Frozen Tissue Section - Progressive Supranuclear Palsy: Brain: Frontal Lobe,http://www.biochain.com/product/frozen-tissue-section-progressive-supranuclear-palsy-brain-frontal-lobe/,T1236051PSP
Frozen Tissue Section - Alzheimer's Disease: Brain: Hippocampus,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-hippocampus/,T1236052Alz-B307142
Frozen Tissue Section - Dementia: Brain: Hippocampus,http://www.biochain.com/product/frozen-tissue-section-dementia-brain-hippocampus/,T1236052Dem
Frozen Tissue Section - Depression: Brain: Hippocampus,http://www.biochain.com/product/frozen-tissue-section-depression-brain-hippocampus/,T1236052Dep
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Hippocampus,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-hippocampus/,T1236052Msc
Frozen Tissue Section - Alzheimer's Disease: Brain: Medulla Oblongata,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-medulla-oblongata/,T1236057Alz
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Medulla Oblongata,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-medulla-oblongata/,T1236057Msc
Frozen Tissue Section - Parkinson's Disease: Brain: Medulla Oblongata,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-medulla-oblongata/,T1236057Par-B802219
Frozen Tissue Section - Progressive Supranuclear Palsy: Brain: Medulla Oblongata,http://www.biochain.com/product/frozen-tissue-section-progressive-supranuclear-palsy-brain-medulla-oblongata/,T1236057PSP
Frozen Tissue Section - Alzheimer's Disease: Brain: Occipital Lobe,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-occipital-lobe/,T1236062Alz-C308139
Frozen Tissue Section - Dementia: Brain: Occipital Lobe,http://www.biochain.com/product/frozen-tissue-section-dementia-brain-occipital-lobe/,T1236062Dem
Frozen Tissue Section - Depression: Brain: Occipital Lobe,http://www.biochain.com/product/frozen-tissue-section-depression-brain-occipital-lobe/,T1236062Dep
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Occipital Lobe,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-occipital-lobe/,T1236062Msc-B804167
Frozen Tissue Section - Parkinson's Disease: Brain: Occipital Lobe,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-occipital-lobe/,T1236062Par-B110196
Frozen Tissue Section - Progressive Supranuclear Palsy: Brain: Occipital Lobe,http://www.biochain.com/product/frozen-tissue-section-progressive-supranuclear-palsy-brain-occipital-lobe/,T1236062PSP
Frozen Tissue Section - Alzheimer's Disease: Brain: Parietal Lobe,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-parietal-lobe/,T1236066Alz-B907096
Frozen Tissue Section - Dementia: Brain: Parietal Lobe,http://www.biochain.com/product/frozen-tissue-section-dementia-brain-parietal-lobe/,T1236066Dem
Frozen Tissue Section - Depression: Brain: Parietal Lobe,http://www.biochain.com/product/frozen-tissue-section-depression-brain-parietal-lobe/,T1236066Dep
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Parietal Lobe,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-parietal-lobe/,T1236066Msc-B311017
Frozen Tissue Section - Parkinson's Disease: Brain: Parietal Lobe,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-parietal-lobe/,T1236066Par-B102017
Frozen Tissue Section - Progressive Supranuclear Palsy: Brain: Parietal Lobe,http://www.biochain.com/product/frozen-tissue-section-progressive-supranuclear-palsy-brain-parietal-lobe/,T1236066PSP
Frozen Tissue Section - Alzheimer's Disease: Brain: Pituitary,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-pituitary/,T1236068Alz-B909089
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Pituitary,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-pituitary/,T1236068Msc-B402146
Frozen Tissue Section - Parkinson's Disease: Brain: Pituitary,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-pituitary/,T1236068Par-B802220
Frozen Tissue Section - Alzheimer's Disease: Brain: Pons,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-pons/,T1236071Alz-A909060
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Pons,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-pons/,T1236071Msc-B512123
Frozen Tissue Section - Parkinson's Disease: Brain: Pons,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-pons/,T1236071Par-B102071
Frozen Tissue Section - Progressive Supranuclear Palsy: Brain: Pons,http://www.biochain.com/product/frozen-tissue-section-progressive-supranuclear-palsy-brain-pons/,T1236071PSP
Frozen Tissue Section - Alzheimer's Disease: Brain: Postcentral Gyrus,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-postcentral-gyrus/,T1236072Alz-B202093
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Postcentral Gyrus,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-postcentral-gyrus/,T1236072Msc-B302132
Frozen Tissue Section - Parkinson's Disease: Brain: Postcentral Gyrus,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-postcentral-gyrus/,T1236072Par-B202089
Frozen Tissue Section - Alzheimer's Disease: Brain: Precentral Gyrus,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-precentral-gyrus/,T1236073Alz-B105023
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Precentral Gyrus,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-precentral-gyrus/,T1236073Msc
Frozen Tissue Section - Parkinson's Disease: Brain: Precentral Gyrus,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-precentral-gyrus/,T1236073Par-B802221
Frozen Tissue Section - Alzheimer's Disease: Brain: Temporal Lobe,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-temporal-lobe/,T1236078Alz-B806174
Frozen Tissue Section - Dementia: Brain: Temporal Lobe,http://www.biochain.com/product/frozen-tissue-section-dementia-brain-temporal-lobe/,T1236078Dem
Frozen Tissue Section - Depression: Brain: Temporal Lobe,http://www.biochain.com/product/frozen-tissue-section-depression-brain-temporal-lobe/,T1236078Dep
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Temporal Lobe,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-temporal-lobe/,T1236078Msc-B804168
Frozen Tissue Section - Parkinson's Disease: Brain: Temporal Lobe,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-temporal-lobe/,T1236078Par-B802222
Frozen Tissue Section - Progressive Supranuclear Palsy: Brain: Temporal Lobe,http://www.biochain.com/product/frozen-tissue-section-progressive-supranuclear-palsy-brain-temporal-lobe/,T1236078PSP
Frozen Tissue Section - Alzheimer's Disease: Brain: Thalamus,http://www.biochain.com/product/frozen-tissue-section-alzheimers-disease-brain-thalamus/,T1236079Alz-B105016
Frozen Tissue Section - Dementia: Brain: Thalamus,http://www.biochain.com/product/frozen-tissue-section-dementia-brain-thalamus/,T1236079Dem
Frozen Tissue Section - Depression: Brain: Thalamus,http://www.biochain.com/product/frozen-tissue-section-depression-brain-thalamus/,T1236079Dep
Frozen Tissue Section - Multiple Sclerosis Disease: Brain: Thalamus,http://www.biochain.com/product/frozen-tissue-section-multiple-sclerosis-disease-brain-thalamus/,T1236079Msc-C211003
Frozen Tissue Section - Parkinson's Disease: Brain: Thalamus,http://www.biochain.com/product/frozen-tissue-section-parkinsons-disease-brain-thalamus/,T1236079Par-B102072
Frozen Tissue Section - Human Diabetic Diseased Tissue: Colon,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-colon/,T1236090Dia
Frozen Tissue Section - Human Diabetic Diseased Tissue: Small Intestine: Duodenum,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-small-intestine-duodenum/,T1236101Dia
Frozen Tissue Section - Human Diabetic Diseased Tissue: Esophagus,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-esophagus/,T1236106Dia
Frozen Tissue Section - Liver Cirrhosis: Esophagus,http://www.biochain.com/product/frozen-tissue-section-liver-cirrhosis-esophagus/,T1236106Lcs-A708019
Frozen Tissue Section - Human Diabetic Diseased Tissue: Eye,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-eye/,T1236108Dia
Frozen Tissue Section - Human Diabetic Diseased Tissue: Heart,http://www.biochain.com/product/frozen-tissue-section-human-diabetic-diseased-tissue-heart/,T1236122Dia-B507095
"Frozen Tissue Section - Arrhythmia, infarct: Heart",http://www.biochain.com/product/frozen-tissue-section-arrhythmia-infarct-heart/,T1236122Hd-1-A804191
Frozen Tissue Section - Hypertension: Heart,http://www.biochain.com/product/frozen-tissue-section-hypertension-heart/,T1236122Hd-2-B209071
Frozen Tissue Section - Congenital heart disease: Heart,http://www.biochain.com/product/frozen-tissue-section-congenital-heart-disease-heart/,T1236122Hd-3-A804193
Frozen Tissue Section - Coronary Artery Atherosclerosis: Heart,http://www.biochain.com/product/frozen-tissue-section-coronary-artery-atherosclerosis-heart/,T1236122Hd-5-B211060
